security_id,candidate_variant,baseline_variant,W,q,valid_row_count,baseline_true_count,candidate_true_count,jaccard,baseline_retention,candidate_precision
300677.SZ,c2_only,baseline_pair,120,0.2,1804,455,491,0.8368932038834952,0.9472527472527472,0.8778004073319755
300679.SZ,c2_only,baseline_pair,120,0.2,1912,443,455,0.8708333333333333,0.9435665914221218,0.9186813186813186
300699.SZ,c2_only,baseline_pair,120,0.2,1943,496,491,0.8587570621468926,0.9193548387096774,0.9287169042769857
300718.SZ,c2_only,baseline_pair,120,0.2,1852,441,465,0.7626459143968871,0.8888888888888888,0.843010752688172
300724.SZ,c2_only,baseline_pair,120,0.2,1665,380,385,0.9029850746268657,0.9552631578947368,0.9428571428571428
300735.SZ,c2_only,baseline_pair,120,0.2,1873,472,507,0.8163265306122449,0.9322033898305084,0.8678500986193294
300748.SZ,c2_only,baseline_pair,120,0.2,1628,417,434,0.8301075268817204,0.9256594724220624,0.8894009216589862
300750.SZ,c2_only,baseline_pair,120,0.2,1766,405,406,0.9401913875598086,0.9703703703703703,0.9679802955665024
300751.SZ,c2_only,baseline_pair,120,0.2,1668,378,385,0.9122807017543859,0.9629629629629629,0.9454545454545454
300757.SZ,c2_only,baseline_pair,120,0.2,1605,380,401,0.8078703703703703,0.9184210526315789,0.8703241895261845
300759.SZ,c2_only,baseline_pair,120,0.2,1605,398,404,0.8870588235294118,0.9472361809045227,0.9331683168316832
300760.SZ,c2_only,baseline_pair,120,0.2,1688,362,356,0.8085642317380353,0.8867403314917127,0.901685393258427
300763.SZ,c2_only,baseline_pair,120,0.2,1520,364,360,0.8422391857506362,0.9093406593406593,0.9194444444444444
300803.SZ,c2_only,baseline_pair,120,0.2,1409,299,311,0.7941176470588235,0.903010033444816,0.8681672025723473
300832.SZ,c2_only,baseline_pair,120,0.2,1296,294,299,0.8647798742138365,0.935374149659864,0.919732441471572
300857.SZ,c2_only,baseline_pair,120,0.2,1243,236,252,0.8007380073800738,0.9194915254237288,0.8611111111111112
300866.SZ,c2_only,baseline_pair,120,0.2,1237,287,315,0.8580246913580247,0.9686411149825784,0.8825396825396825
300888.SZ,c2_only,baseline_pair,120,0.2,1219,279,289,0.8562091503267973,0.9390681003584229,0.9065743944636678
300896.SZ,c2_only,baseline_pair,120,0.2,1212,328,332,0.8435754189944135,0.9207317073170732,0.9096385542168675
300919.SZ,c2_only,baseline_pair,120,0.2,1156,305,307,0.8489425981873112,0.921311475409836,0.9153094462540716
300953.SZ,c2_only,baseline_pair,120,0.2,1101,292,310,0.8187311178247734,0.928082191780822,0.8741935483870967
300957.SZ,c2_only,baseline_pair,120,0.2,1096,233,262,0.7491166077738516,0.9098712446351931,0.8091603053435115
300972.SZ,c2_only,baseline_pair,120,0.2,1080,287,280,0.8774834437086093,0.9233449477351916,0.9464285714285714
300999.SZ,c2_only,baseline_pair,120,0.2,1205,309,308,0.904320987654321,0.948220064724919,0.9512987012987013
301165.SZ,c2_only,baseline_pair,120,0.2,694,171,179,0.8324607329842932,0.9298245614035088,0.888268156424581
301200.SZ,c2_only,baseline_pair,120,0.2,872,149,165,0.7541899441340782,0.9060402684563759,0.8181818181818182
301236.SZ,c2_only,baseline_pair,120,0.2,861,237,238,0.7657992565055762,0.869198312236287,0.865546218487395
301269.SZ,c2_only,baseline_pair,120,0.2,759,145,164,0.6612903225806451,0.8482758620689655,0.75
301301.SZ,c2_only,baseline_pair,120,0.2,668,132,147,0.7329192546583851,0.8939393939393939,0.8027210884353742
301308.SZ,c2_only,baseline_pair,120,0.2,764,152,161,0.874251497005988,0.9605263157894737,0.906832298136646
301358.SZ,c2_only,baseline_pair,120,0.2,642,144,150,0.9090909090909091,0.9722222222222222,0.9333333333333333
301377.SZ,c2_only,baseline_pair,120,0.2,693,129,139,0.675,0.8372093023255814,0.7769784172661871
301498.SZ,c2_only,baseline_pair,120,0.2,514,91,94,0.8877551020408163,0.9560439560439561,0.925531914893617
301526.SZ,c2_only,baseline_pair,120,0.2,426,66,75,0.6785714285714286,0.8636363636363636,0.76
301536.SZ,c2_only,baseline_pair,120,0.2,366,85,77,0.8,0.8470588235294118,0.935064935064935
301606.SZ,c2_only,baseline_pair,120,0.2,286,65,84,0.5684210526315789,0.8307692307692308,0.6428571428571429
301611.SZ,c2_only,baseline_pair,120,0.2,240,50,55,0.8421052631578947,0.96,0.8727272727272727
302132.SZ,c2_only,baseline_pair,120,0.2,2291,519,538,0.7794612794612794,0.8921001926782274,0.8605947955390335
600000.SH,c2_only,baseline_pair,120,0.2,2349,565,612,0.8652931854199684,0.9663716814159292,0.8921568627450981
600004.SH,c2_only,baseline_pair,120,0.2,2367,573,585,0.8647342995169082,0.93717277486911,0.9179487179487179
600008.SH,c2_only,baseline_pair,120,0.2,2291,562,583,0.8088467614533965,0.9110320284697508,0.8782161234991424
600009.SH,c2_only,baseline_pair,120,0.2,2356,581,599,0.8789808917197452,0.9500860585197934,0.9215358931552587
600010.SH,c2_only,baseline_pair,120,0.2,2358,559,605,0.7907692307692308,0.9194991055456172,0.8495867768595041
600011.SH,c2_only,baseline_pair,120,0.2,2367,493,526,0.8426763110307414,0.9452332657200812,0.8859315589353612
600015.SH,c2_only,baseline_pair,120,0.2,2367,543,576,0.8165584415584416,0.9263351749539595,0.8732638888888888
600016.SH,c2_only,baseline_pair,120,0.2,2367,637,692,0.8587412587412587,0.9638932496075353,0.8872832369942196
600018.SH,c2_only,baseline_pair,120,0.2,2364,596,623,0.8275862068965517,0.9261744966442953,0.8860353130016051
600019.SH,c2_only,baseline_pair,120,0.2,2215,544,557,0.8597972972972973,0.9356617647058824,0.9138240574506283
600021.SH,c2_only,baseline_pair,120,0.2,2170,579,587,0.8247261345852895,0.9101899827288429,0.8977853492333902
600023.SH,c2_only,baseline_pair,120,0.2,2367,539,582,0.8227642276422764,0.9387755102040817,0.8694158075601375
600025.SH,c2_only,baseline_pair,120,0.2,1886,442,462,0.808,0.9140271493212669,0.8744588744588745
600026.SH,c2_only,baseline_pair,120,0.2,2291,553,561,0.7938808373590982,0.891500904159132,0.8787878787878788
600027.SH,c2_only,baseline_pair,120,0.2,2356,548,565,0.8612040133779264,0.9397810218978102,0.911504424778761
600028.SH,c2_only,baseline_pair,120,0.2,2367,544,558,0.8614864864864865,0.9375,0.9139784946236559
600029.SH,c2_only,baseline_pair,120,0.2,2364,573,579,0.8762214983713354,0.9389179755671903,0.9291882556131261
600030.SH,c2_only,baseline_pair,120,0.2,2350,586,605,0.8294930875576036,0.9215017064846417,0.8925619834710744
600031.SH,c2_only,baseline_pair,120,0.2,2338,512,510,0.8381294964028777,0.91015625,0.9137254901960784
600032.SH,c2_only,baseline_pair,120,0.2,985,239,258,0.8138686131386861,0.9330543933054394,0.8643410852713178
600036.SH,c2_only,baseline_pair,120,0.2,2367,631,648,0.8726207906295754,0.9445324881141046,0.9197530864197531
600038.SH,c2_only,baseline_pair,120,0.2,2357,559,604,0.8519108280254777,0.9570661896243292,0.8857615894039735
600039.SH,c2_only,baseline_pair,120,0.2,2285,578,605,0.8144171779141104,0.9186851211072664,0.8776859504132232
600048.SH,c2_only,baseline_pair,120,0.2,2360,507,535,0.8475177304964538,0.9428007889546351,0.8934579439252337
600050.SH,c2_only,baseline_pair,120,0.2,2272,540,578,0.8238172920065253,0.9351851851851852,0.8737024221453287
600060.SH,c2_only,baseline_pair,120,0.2,2366,556,558,0.8382838283828383,0.9136690647482014,0.910394265232975
600061.SH,c2_only,baseline_pair,120,0.2,2356,525,529,0.7955706984667802,0.8895238095238095,0.8827977315689981
600062.SH,c2_only,baseline_pair,120,0.2,2306,575,584,0.7941176470588235,0.8921739130434783,0.8784246575342466
