transition_path,W,q,K,lag_k,anchor_year,anchor_event_count,control_anchor_count,target_valid_event_count,target_true_event_count,target_valid_control_count,target_true_control_count,observed_probability,baseline_probability,absolute_difference,relative_lift
P_TO_C,120,0.1,not_applicable,5,2016,1187,31316,634,211,21088,2597,0.33280757097791797,0.12315060698027314,0.20965696399764483,2.702443610620845
P_TO_C,120,0.1,not_applicable,5,2017,1865,112085,1759,436,107155,10038,0.24786810687890848,0.09367738322990062,0.15419072364900788,2.645975990497055
P_TO_C,120,0.1,not_applicable,5,2018,1897,123798,1839,450,120591,14703,0.24469820554649266,0.1219245217304774,0.12277368381601526,2.0069646538160306
P_TO_C,120,0.1,not_applicable,5,2019,3286,122345,3235,855,117916,14648,0.2642967542503864,0.1242240238814071,0.1400727303689793,2.127581654436685
P_TO_C,120,0.1,not_applicable,5,2020,1806,142963,1773,403,138783,14448,0.22729836435420192,0.10410496962884504,0.12319339472535688,2.1833574820161408
P_TO_C,120,0.1,not_applicable,5,2021,2679,144661,2622,620,140542,16305,0.23646071700991608,0.11601514138122412,0.12044557562869196,2.0381884139839084
P_TO_C,120,0.1,not_applicable,5,2022,3257,150904,3224,734,148168,17931,0.22766749379652607,0.12101803358349981,0.10664946021302625,1.88126915514158
P_TO_C,120,0.1,not_applicable,5,2023,4183,149271,4151,1033,147557,19085,0.24885569742230787,0.12933984832979797,0.1195158490925099,1.924045069140345
P_TO_C,120,0.1,not_applicable,5,2024,2056,175454,2040,467,173050,18423,0.22892156862745097,0.10646056053163826,0.12246100809581272,2.1502946019095908
P_TO_C,120,0.1,not_applicable,5,2025,3807,155513,3791,995,153805,17474,0.26246372988657346,0.1136113910471051,0.14885233883946836,2.310188507222412
P_TO_C,120,0.1,not_applicable,5,2026,632,87499,628,93,82669,6896,0.1480891719745223,0.08341700032660368,0.06467217164791861,1.7752876679178922
P_TO_C,120,0.1,not_applicable,10,2016,1187,31316,710,192,22321,2813,0.2704225352112676,0.12602481967653778,0.1443977155347298,2.1457879162640254
P_TO_C,120,0.1,not_applicable,10,2017,1865,112085,1772,412,107494,10767,0.2325056433408578,0.10016373006865499,0.1323419132722028,2.3212558396286957
P_TO_C,120,0.1,not_applicable,10,2018,1897,123798,1843,340,120703,15706,0.18448182311448724,0.13012104090204882,0.054360782212438424,1.41777088344505
P_TO_C,120,0.1,not_applicable,10,2019,3286,122345,3238,753,118064,15219,0.23255095738109943,0.1289046618783033,0.10364629550279614,1.80405389527841
P_TO_C,120,0.1,not_applicable,10,2020,1806,142963,1775,352,138928,15209,0.19830985915492957,0.10947397212944834,0.08883588702548123,1.811479526114541
P_TO_C,120,0.1,not_applicable,10,2021,2679,144661,2632,596,140740,16863,0.22644376899696048,0.1198166832457013,0.10662708575125918,1.889918522720288
P_TO_C,120,0.1,not_applicable,10,2022,3257,150904,3226,670,148353,18784,0.20768753874767515,0.12661692045324327,0.08107061829443188,1.6402826573591276
P_TO_C,120,0.1,not_applicable,10,2023,4183,149271,4156,812,147703,19963,0.19538017324350337,0.13515636107594295,0.060223812167560425,1.4455862209379942
P_TO_C,120,0.1,not_applicable,10,2024,2056,175454,2039,345,173079,18963,0.16920058852378617,0.10956268524777703,0.05963790327600914,1.5443267764124022
P_TO_C,120,0.1,not_applicable,10,2025,3807,155513,3791,905,153875,18336,0.2387232920073859,0.11916165718927701,0.11956163481810889,2.0033565967297395
P_TO_C,120,0.1,not_applicable,10,2026,632,87499,626,99,78760,6368,0.15814696485623003,0.0808532249873032,0.07729373986892683,1.9559759660924432
P_TO_C,120,0.1,not_applicable,20,2016,1187,31316,838,228,24607,3274,0.2720763723150358,0.13305157069126672,0.13902480162376907,2.044894103102042
P_TO_C,120,0.1,not_applicable,20,2017,1865,112085,1783,334,108136,11755,0.1873247335950645,0.10870570392838648,0.07861902966667801,1.7232281915811054
P_TO_C,120,0.1,not_applicable,20,2018,1897,123798,1848,318,120949,16792,0.17207792207792208,0.13883537689439351,0.033242545183528566,1.2394385777395542
P_TO_C,120,0.1,not_applicable,20,2019,3286,122345,3238,613,118358,15617,0.18931439159975294,0.1319471434123591,0.05736724818739383,1.4347744612258155
P_TO_C,120,0.1,not_applicable,20,2020,1806,142963,1773,261,139216,15830,0.14720812182741116,0.11370819446040685,0.033499927367004315,1.2946131325536874
P_TO_C,120,0.1,not_applicable,20,2021,2679,144661,2643,542,141171,17695,0.20506999621642075,0.12534444043040002,0.07972555578602072,1.6360517906678909
P_TO_C,120,0.1,not_applicable,20,2022,3257,150904,3228,648,148701,19637,0.20074349442379183,0.13205694648993618,0.06868654793385565,1.5201282458783048
P_TO_C,120,0.1,not_applicable,20,2023,4183,149271,4158,796,147971,19971,0.19143819143819144,0.13496563515824048,0.05647255627995096,1.4184217427920796
P_TO_C,120,0.1,not_applicable,20,2024,2056,175454,2035,284,173149,19644,0.13955773955773956,0.11345142045290472,0.026106319104834838,1.2301101123336922
P_TO_C,120,0.1,not_applicable,20,2025,3807,155513,3794,872,153961,19680,0.22983658408012653,0.12782457895181248,0.10201200512831404,1.798062516339449
P_TO_C,120,0.1,not_applicable,20,2026,632,87499,622,89,70955,5357,0.14308681672025725,0.07549855542245085,0.0675882612978064,1.8952258876956978
P_TO_C,120,0.2,not_applicable,1,2016,1143,25010,560,247,16752,2432,0.44107142857142856,0.1451766953199618,0.29589473325146676,3.0381696428571425
P_TO_C,120,0.2,not_applicable,1,2017,2373,101787,2249,795,97129,13808,0.3534904401956425,0.14216145538407685,0.21132898481156567,2.486542074577242
P_TO_C,120,0.2,not_applicable,1,2018,2861,112467,2788,1071,109476,19925,0.38414634146341464,0.18200336146735357,0.20214297999606107,2.110655200905836
P_TO_C,120,0.2,not_applicable,1,2019,3869,104688,3805,1472,100441,17128,0.3868593955321945,0.17052797164504535,0.21633142388714915,2.268597883386802
