transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,target_status_matched_event_count,target_status_matched_true_count,target_status_matched_observed_probability,target_status_matched_event_coverage,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_C,250,0.2,not_applicable,5,0.15648094814194202,0.21185163476609173,0.2527382710517035,25457,8574,0.33680323683073415,0.996321083323549,0.1850474648471911,25550,1,0.9999608625885484,0.3366991507181715,0.1802182025762295,0.08406496577903066,0.15165168587098043,""
P_TO_C,250,0.2,not_applicable,10,0.16624998252896697,0.21185163476609173,0.22691733396599092,25441,7934,0.31185881058134507,0.9930907955343898,0.19993066262941234,25617,1,0.999960964946522,0.31149972675462567,0.1452497442256587,0.08494147661535414,0.11156906412521334,""
P_TO_C,250,0.2,not_applicable,20,0.1784264626052848,0.21185163476609173,0.2045457418143063,25380,7583,0.2987785657998424,0.9855927925129121,0.21535414310549017,25750,1,0.9999611665566386,0.2983185119024504,0.1198920492971656,0.09423282398553612,0.08296436879696023,""
P_TO_C,250,0.3,not_applicable,1,0.200755235827052,0.30756020687157076,0.3804957457763809,29842,12417,0.4160914147845319,0.999196410634166,0.22308297233330718,29856,7,0.9996651710975691,0.41602491127034086,0.21526967544328887,0.035595669008150976,0.19294193893703368,""
P_TO_C,250,0.3,not_applicable,3,0.2068018480997235,0.30756020687157076,0.3473776584032568,29834,12772,0.42810216531474155,0.9981264637002342,0.23204376008255936,29883,6,0.9997658079625292,0.4279692204750753,0.2211673723753518,0.08072450691148475,0.19592546039251593,""
P_TO_C,250,0.3,not_applicable,5,0.21519084412258305,0.30756020687157076,0.33029231532997605,29825,12701,0.42585079631181894,0.9966916187675444,0.2444547986708997,29918,5,0.9997994920465179,0.42574522122710867,0.21055437710452563,0.09555848098184289,0.18129042255620897,""
P_TO_C,250,0.3,not_applicable,10,0.23209264131325225,0.30756020687157076,0.30808035532403305,29802,12121,0.40671766995503655,0.9933337777481501,0.26861113760346667,29992,6,0.9996666888874075,0.4061395906939537,0.17404694938070148,0.0986373146310035,0.13752845309048706,""
P_TO_C,250,0.3,not_applicable,20,0.25430212213986303,0.30756020687157076,0.289000485007663,29747,11591,0.3896527380912361,0.9865026198845924,0.29691731164208157,30151,3,0.9999005107116801,0.3885056708894342,0.1342035487495712,0.10065225308357306,0.09158835924735265,""
P_TO_C,500,0.1,not_applicable,1,0.07973925832999881,0.11008625370207094,0.20679791795568617,14082,3425,0.2432182928561284,0.9996450628238802,0.10891953118666921,14087,0,1.0,0.24320295307730533,0.16346369474730651,0.036420374900442226,0.13428342189063613,""
P_TO_C,500,0.1,not_applicable,3,0.08187300531495406,0.11008625370207094,0.1707264168410393,14079,3436,0.24405142410682576,0.9984398269626268,0.11433158828522956,14101,0,1.0,0.24409616339266718,0.16222315807771312,0.07332500726578645,0.1297645751074376,""
P_TO_C,500,0.1,not_applicable,5,0.0843696030747376,0.11008625370207094,0.1528406677434622,14076,3309,0.23508098891730606,0.9973783036916318,0.12076651984705385,14112,1,0.9999291433430171,0.23517324452632324,0.15080364145158565,0.08224032117384386,0.11440672467926939,""
